date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Dir,weekdays,days,num_accidents
2017-01-02,-1.4875,80.5,6.416666666666667,-4.483333333333333,102.1625,20.70833333333333,0,0,50
2017-01-03,-2.5166666666666666,97.04166666666669,7.5,-2.9333333333333336,100.68083333333334,5.791666666666667,0,1,52
2017-01-04,-1.0458333333333334,95.29166666666669,6.958333333333333,-1.7125,98.49333333333334,11.0,0,2,80
2017-01-05,-6.8500000000000005,70.0,7.666666666666667,-11.420833333333334,99.53125,21.0,0,3,121
2017-01-06,-9.0375,76.66666666666667,4.208333333333333,-12.404166666666669,100.81875,27.291666666666668,0,4,64
2017-01-07,-11.429166666666667,76.25,4.541666666666667,-14.966666666666669,101.70166666666668,20.58333333333333,1,5,67
2017-01-08,-14.358333333333334,78.29166666666667,4.041666666666667,-17.379166666666666,101.63708333333334,21.95833333333333,1,6,29
2017-01-09,-13.370833333333332,74.66666666666667,6.541666666666667,-16.904166666666665,102.40375,19.791666666666668,0,0,44
2017-01-10,-4.4875,74.04166666666667,9.75,-8.575000000000001,101.65875,18.83333333333333,0,1,44
2017-01-11,3.954166666666667,71.95833333333333,10.291666666666666,-0.7458333333333332,100.35708333333334,20.041666666666668,0,2,60
2017-01-12,4.55,91.625,5.833333333333333,3.1875,99.99708333333332,20.08333333333333,0,3,64
2017-01-13,-6.391666666666667,60.29166666666666,7.208333333333333,-13.075,102.16333333333334,18.83333333333333,0,4,64
2017-01-14,-12.45,66.875,6.208333333333333,-17.35833333333333,102.54083333333334,23.291666666666668,1,5,31
2017-01-15,-8.525,68.33333333333333,6.291666666666667,-13.529166666666669,101.82625,21.125,1,6,38
2017-01-16,-2.15,73.875,8.583333333333334,-6.245833333333334,101.46666666666664,19.666666666666668,0,0,56
2017-01-17,-1.875,75.33333333333333,8.458333333333334,-5.733333333333333,101.26958333333334,10.458333333333334,0,1,48
2017-01-18,-3.25,99.08333333333331,7.791666666666667,-3.3791666666666664,100.51291666666668,14.375,0,2,70
2017-01-19,1.1625,95.375,4.75,0.5,100.615,23.416666666666668,0,3,52
2017-01-20,1.725,84.41666666666667,4.833333333333333,-0.6416666666666667,100.4525,19.416666666666668,0,4,43
2017-01-21,1.9416666666666669,95.70833333333331,2.9166666666666665,1.3166666666666669,99.94583333333333,22.541666666666668,1,5,47
2017-01-22,0.5583333333333333,87.04166666666667,8.833333333333334,-1.4291666666666665,100.29958333333332,3.083333333333333,1,6,39
2017-01-23,-1.9375,79.08333333333333,10.541666666666666,-5.079166666666667,100.77458333333334,2.75,0,0,42
2017-01-24,-3.345833333333333,88.66666666666667,12.0,-5.041666666666667,99.76458333333332,2.458333333333333,0,1,171
2017-01-25,-1.4833333333333334,95.25,4.541666666666667,-2.1625,99.07875,18.125,0,2,42
2017-01-26,0.6791666666666667,93.625,5.083333333333333,-0.2666666666666666,98.23958333333331,20.041666666666668,0,3,53
2017-01-27,-0.8208333333333333,81.29166666666667,6.625,-3.6666666666666665,98.40208333333334,20.75,0,4,59
2017-01-28,-1.15,80.91666666666667,5.708333333333333,-4.05,98.85125,19.916666666666668,1,5,41
2017-01-29,-1.808333333333333,85.41666666666667,6.208333333333333,-3.9791666666666665,99.19875,23.041666666666668,1,6,26
2017-01-30,-9.141666666666667,76.58333333333333,5.583333333333333,-12.616666666666667,99.97791666666666,23.75,0,0,59
2017-01-31,-10.729166666666666,75.25,5.708333333333333,-14.3375,100.30416666666667,20.416666666666668,0,1,71
2017-02-01,-9.908333333333331,87.29166666666667,7.875,-11.645833333333334,100.125,12.166666666666666,0,2,48
2017-02-02,-7.466666666666666,75.04166666666667,5.875,-11.325,100.58583333333333,22.291666666666668,0,3,78
2017-02-03,-6.916666666666667,61.625,5.041666666666667,-13.216666666666669,100.8475,22.20833333333333,0,4,63
