date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Chill,Wind Dir
2012-01-01,0.7625000000000001,89.41666666666667,4.791666666666667,-0.7958333333333334,100.13416666666666,-2.75,19.043478260869566
2012-01-02,0.18750000000000003,63.708333333333336,8.958333333333334,-5.945833333333333,99.0225,-7.375,23.333333333333332
2012-01-03,-14.429166666666667,55.666666666666664,7.708333333333333,-21.416666666666668,100.73166666666667,-19.208333333333332,25.625
2012-01-04,-13.420833333333334,67.83333333333333,5.291666666666667,-18.116666666666667,100.78458333333333,-16.75,23.416666666666668
2012-01-05,-5.829166666666667,69.20833333333333,5.416666666666667,-10.737499999999999,100.03208333333333,-8.434782608695652,20.26086956521739
2012-01-06,-11.179166666666667,80.16666666666667,8.708333333333334,-13.950000000000001,99.945,-16.166666666666668,4.708333333333333
2012-01-07,-4.308333333333334,88.5,5.041666666666667,-5.908333333333334,99.77166666666666,-6.863636363636363,19.25
2012-01-08,-5.658333333333334,70.91666666666667,5.125,-10.0875,101.28625,-8.347826086956522,24.833333333333332
2012-01-09,-3.891666666666666,73.91666666666667,5.5,-7.8875,100.98958333333333,-6.238095238095238,19.818181818181817
2012-01-10,-1.0958333333333334,70.04166666666667,8.958333333333334,-6.004166666666666,100.10333333333334,-9.3,17.25
2012-01-11,-12.85,63.875,9.5,-18.283333333333335,101.14833333333333,-18.375,4.458333333333333
2012-01-12,-6.9750000000000005,83.45833333333333,12.25,-9.316666666666666,99.91833333333334,-12.25,2.875
2012-01-13,-4.420833333333333,90.45833333333333,8.5,-5.7375,98.29416666666667,-7.958333333333333,8.25
2012-01-14,-15.695833333333333,68.375,6.041666666666667,-20.208333333333332,100.45541666666666,-20.083333333333332,26.0
2012-01-15,-17.745833333333334,65.625,6.458333333333333,-22.666666666666668,102.055,-22.541666666666668,23.666666666666668
2012-01-16,-12.220833333333333,75.29166666666667,6.833333333333333,-15.725,101.70375,-16.608695652173914,19.956521739130434
2012-01-17,-4.633333333333334,89.54166666666667,4.541666666666667,-6.1000000000000005,99.66000000000001,-7.388888888888889,6.555555555555555
2012-01-18,-8.491666666666667,64.875,8.0,-14.020833333333334,100.13,-13.857142857142858,25.541666666666668
2012-01-19,-9.370833333333334,65.91666666666667,6.791666666666667,-14.783333333333333,100.88291666666667,-12.958333333333334,18.375
2012-01-20,-11.299999999999999,60.458333333333336,6.041666666666667,-17.504166666666666,101.16708333333334,-14.916666666666666,25.708333333333332
2012-01-21,-14.016666666666666,63.416666666666664,5.833333333333333,-19.533333333333335,101.73,-18.0,15.583333333333334
2012-01-22,-12.429166666666667,76.08333333333333,4.583333333333333,-15.820833333333333,102.2625,-15.291666666666666,15.791666666666666
2012-01-23,-0.6749999999999998,81.95833333333333,6.0,-3.4,100.83708333333334,-6.875,21.363636363636363
2012-01-24,2.9958333333333336,77.95833333333333,8.0,-0.5166666666666667,100.21083333333333,,20.5
2012-01-25,-3.470833333333333,64.29166666666667,6.25,-9.279166666666667,101.37291666666665,-6.304347826086956,24.541666666666668
2012-01-26,-5.820833333333333,63.458333333333336,6.333333333333333,-11.729166666666666,101.24374999999999,-8.708333333333334,14.833333333333334
2012-01-27,-1.5,91.625,7.291666666666667,-2.6625,99.13333333333333,-6.066666666666666,11.217391304347826
2012-01-28,0.5625,78.375,6.5,-2.779166666666667,100.00541666666668,-2.4444444444444446,20.125
2012-01-29,-0.6,61.5,8.375,-7.158333333333334,100.19416666666666,-3.9411764705882355,22.083333333333332
2012-01-30,-7.020833333333333,60.625,4.916666666666667,-13.4625,101.1725,-9.458333333333334,23.458333333333332
2012-01-31,-7.7875000000000005,80.25,9.25,-10.641666666666667,100.99583333333334,-12.25,6.75
2012-02-01,-5.0,90.95833333333333,8.538461538461538,-6.25,100.13499999999999,-9.461538461538462,2.1538461538461537
2012-02-02,-7.133333333333333,75.625,,-10.737499999999999,101.3975,,
2012-02-03,-5.616666666666667,79.95833333333333,4.666666666666667,-8.5375,101.89,-5.333333333333333,21.0
2012-02-04,-6.591666666666666,68.58333333333333,6.0,-11.445833333333333,101.64041666666667,-9.583333333333334,32.041666666666664
2012-02-05,-7.066666666666666,72.54166666666667,6.458333333333333,-11.208333333333334,101.19083333333333,-10.166666666666666,20.916666666666668
2012-02-06,1.7625,71.0,6.833333333333333,-2.9625,100.17458333333333,-3.5,21.125
2012-02-07,-4.258333333333334,51.5,7.875,-13.049999999999999,101.15125,-9.1,20.791666666666668
2012-02-08,-6.070833333333333,51.375,7.208333333333333,-14.7875,101.28208333333333,-9.375,22.041666666666668
2012-02-09,-0.8166666666666668,66.04166666666667,6.75,-6.495833333333334,100.68624999999999,-5.75,21.416666666666668
2012-02-10,0.2791666666666667,68.70833333333333,7.708333333333333,-4.854166666666667,100.5575,-3.4,20.791666666666668
2012-02-11,-11.575000000000001,67.95833333333333,10.291666666666666,-16.370833333333334,100.40083333333332,-17.041666666666668,9.333333333333334
2012-02-12,-13.854166666666666,53.083333333333336,7.583333333333333,-21.445833333333336,100.12333333333333,-18.625,27.625
2012-02-13,-7.258333333333333,55.541666666666664,5.666666666666667,-14.845833333333333,100.09166666666665,-10.166666666666666,17.875
2012-02-14,-4.558333333333334,64.33333333333333,5.25,-10.345833333333333,100.61666666666667,-10.933333333333334,15.541666666666666
2012-02-15,1.2791666666666666,80.375,3.3333333333333335,-1.8375000000000001,101.21458333333334,-1.0,23.375
2012-02-16,2.829166666666667,76.08333333333333,6.0,-1.1333333333333333,101.12416666666667,,20.666666666666668
2012-02-17,2.4250000000000003,74.04166666666667,6.791666666666667,-1.9124999999999999,100.20083333333334,,20.083333333333332
2012-02-18,0.2833333333333333,63.5,6.375,-5.904166666666666,100.39958333333334,-3.4,23.208333333333332
2012-02-19,-4.020833333333333,63.166666666666664,5.125,-10.041666666666666,101.02833333333332,-6.125,27.125
2012-02-20,-5.3999999999999995,60.541666666666664,6.333333333333333,-11.891666666666666,101.51333333333334,-8.375,25.333333333333332
2012-02-21,-0.3416666666666666,62.25,6.833333333333333,-6.970833333333334,100.92041666666667,-5.583333333333333,21.208333333333332
2012-02-22,3.1833333333333336,79.375,7.541666666666667,-0.1708333333333333,99.10666666666667,,20.333333333333332
2012-02-23,1.75,77.41666666666667,4.916666666666667,-1.8666666666666665,99.11625,,23.75
2012-02-24,0.033333333333333326,82.25,5.291666666666667,-2.716666666666667,99.30333333333334,-2.0,16.565217391304348
2012-02-25,-2.191666666666667,84.125,5.041666666666667,-4.570833333333334,98.48875,-6.461538461538462,23.85
2012-02-26,-8.854166666666666,56.083333333333336,6.166666666666667,-16.175,101.67541666666666,-12.25,25.708333333333332
