,date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Chill,Wind Dir,weekdays,days
149,2012-05-29,18.116666666666667,82.79166666666667,6.0,15.041666666666666,99.60375,,15.166666666666666,0,1
150,2012-05-30,20.325,53.125,6.333333333333333,9.991666666666667,99.61875,,25.25,0,2
151,2012-05-31,15.825,58.333333333333336,6.125,7.425,100.28416666666668,,18.75,0,3
152,2012-06-01,16.366666666666667,47.79166666666666,6.458333333333333,4.9125000000000005,100.79,,14.5,0,4
153,2012-06-02,13.525,84.375,4.833333333333333,10.766666666666666,100.065,,16.125,1,5
154,2012-06-03,15.008333333333333,76.04166666666667,7.208333333333333,10.6625,99.79333333333334,,10.5,1,6
155,2012-06-04,13.054166666666667,73.375,8.5,8.241666666666665,100.19583333333333,,4.375,0,0
156,2012-06-05,16.45416666666667,55.875,7.583333333333333,6.925,100.48541666666668,,7.791666666666667,0,1
157,2012-06-06,16.4375,60.375,7.041666666666667,8.554166666666665,100.60833333333332,,4.416666666666667,0,2
158,2012-06-07,17.454166666666666,62.0,6.166666666666667,9.608333333333333,100.50833333333333,,16.791666666666668,0,3
159,2012-06-08,16.3875,78.45833333333333,6.125,12.541666666666666,100.03666666666668,,24.291666666666668,0,4
160,2012-06-09,18.941666666666663,48.208333333333336,6.916666666666667,7.258333333333333,100.28916666666667,,30.416666666666668,1,5
161,2012-06-10,21.504166666666663,47.833333333333336,4.5,9.054166666666667,100.95208333333332,,15.833333333333334,1,6
162,2012-06-11,23.979166666666668,59.29166666666666,5.5,15.4375,100.99375,,14.782608695652174,0,0
163,2012-06-12,20.39583333333333,75.5,7.5,15.679166666666667,100.39083333333332,,20.416666666666668,0,1
164,2012-06-13,19.341666666666665,64.45833333333333,6.833333333333333,11.9,100.7,,20.875,0,2
165,2012-06-14,18.675,45.66666666666666,6.916666666666667,6.3625,101.74583333333334,,9.083333333333334,0,3
166,2012-06-15,19.78333333333333,48.04166666666666,7.083333333333333,7.762499999999999,101.8025,,5.75,0,4
167,2012-06-16,20.370833333333334,60.41666666666666,5.625,12.154166666666669,101.53875,,14.75,1,5
