"Date","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"2012-02-29",6722,0,0,0,0,175,2,0,72,0,0,0,696,0,36,0,0,0,0,0,0,0,1,1,0
"2012-03-13",12956,0,0,308,0,192,2,0,1240,0,0,0,4002,0,80,0,0,0,0,1,0,0,0,2,1
"2012-03-14",50035,1,0,713,0,40,1,0,863,0,0,0,855,0,44,0,0,0,1,0,1,0,1,0,0
"2012-03-15",6770,0,0,0,0,366,12,0,710,0,0,0,702,0,49,0,0,0,0,0,0,0,0,0,1
"2012-04-11",12395,0,0,0,0,784,105,0,0,0,0,4,9,0,19,0,0,0,1,0,0,0,0,0,0
"2012-04-12",36349,0,0,0,0,2099,373,0,0,0,0,2,1788,0,120,1,0,0,0,1,1,0,0,0,0
"2012-04-19",14552,0,0,0,0,561,225,0,0,0,0,0,17,0,8,0,1,0,0,0,0,0,0,0,0
"2012-05-03",21087,0,549,846,0,0,0,0,0,0,0,0,2966,0,68,0,0,1,0,0,0,0,0,0,0
"2012-05-09",4415,0,0,0,0,403,7,0,102,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,1,0
"2012-05-15",109760,0,1256,2991,0,0,0,0,0,0,0,2,683,0,221,1,0,1,0,0,0,1,1,1,0
"2012-05-23",46928,0,964,930,0,0,0,0,2,0,0,4,17047,0,6600,2,2,1,0,0,0,0,0,0,0
"2012-05-24",37386,0,1160,638,0,0,0,0,0,0,0,7,11089,0,2843,0,1,1,0,0,0,1,0,0,0
"2012-05-29",30736,0,316,992,0,0,0,0,0,0,0,0,7656,0,3118,0,0,0,0,1,0,1,0,0,0
"2012-05-30",44908,0,1298,1229,0,0,0,0,5,0,0,0,6975,0,1454,0,2,1,0,0,0,0,1,0,0
"2012-05-31",36224,0,738,1190,0,0,0,0,24,0,0,2,4023,0,270,1,0,1,0,0,0,0,0,0,0
"2012-06-05",100587,0,1875,3236,0,0,0,0,1,0,0,0,3213,0,467,0,0,0,0,0,1,2,0,1,2
"2012-06-06",64240,0,453,1272,0,0,0,0,0,0,0,8,13123,0,3493,0,0,1,1,0,0,1,0,0,2
"2012-06-07",157819,0,2117,4412,0,0,0,0,8,0,0,2,18666,0,3839,0,0,1,3,0,0,2,1,1,3
"2012-06-08",27353,0,393,3702,0,0,0,0,0,0,0,0,47,0,64,0,1,0,0,0,0,0,0,0,0
"2012-06-12",23485,0,312,637,0,0,0,0,0,66,0,3,5616,0,1424,0,1,0,1,0,0,0,0,0,0
"2012-06-13",27444,76,0,476,0,0,0,0,0,0,0,1341,3152,0,0,0,0,0,0,1,0,0,0,0,0
"2012-07-05",70579,2,267,2461,0,0,0,0,0,0,0,1057,34160,0,6722,2,0,2,1,0,0,1,1,0,0
"2012-09-06",15532,0,532,643,0,0,0,0,0,0,0,0,760,0,116,0,0,0,1,0,0,1,0,0,0
"2012-09-11",39390,0,104,1629,0,0,0,0,0,0,0,0,6714,0,578,0,0,0,1,0,0,0,0,1,1
