"Date","NB_Accidents","NB_VEH_IMPLIQUES_ACCDN","NB_MORTS","NB_BLESSES_GRAVES","NB_BLESSES_LEGERS","NB_VICTIMES_TOTAL","nb_automobile_camion_leger","nb_camionLourd_tractRoutier","nb_outil_equipement","nb_tous_autobus_minibus","nb_bicyclette","nb_cyclomoteur","nb_motocyclette","nb_taxi","nb_urgence","nb_motoneige","nb_VHR","nb_autres_types","nb_veh_non_precise","NB_DECES_PIETON","NB_BLESSES_PIETON","NB_VICTIMES_PIETON","NB_DECES_MOTO","NB_BLESSES_MOTO","NB_VICTIMES_MOTO","NB_DECES_VELO","NB_BLESSES_VELO","NB_VICTIMES_VELO","SeverityDeadly","SeverityLight Injury","SeverityMaterial High","SeverityMaterial Low","SeveritySevere Injury","as.factor(Accident_Type)31","as.factor(Accident_Type)32","as.factor(Accident_Type)33","as.factor(Accident_Type)34","as.factor(Accident_Type)35","as.factor(Accident_Type)36","as.factor(Accident_Type)37","as.factor(Accident_Type)38","as.factor(Accident_Type)39","as.factor(Accident_Type)40","as.factor(Accident_Type)41","as.factor(Accident_Type)42","as.factor(Accident_Type)43","as.factor(Accident_Type)44","as.factor(Accident_Type)45","as.factor(Accident_Type)46","as.factor(Accident_Type)47","as.factor(Accident_Type)48","as.factor(Accident_Type)49","as.factor(Accident_Type)50","as.factor(Accident_Type)51","as.factor(Accident_Type)52","as.factor(Accident_Type)53","as.factor(Accident_Type)54","as.factor(Accident_Type)55","as.factor(Accident_Type)59","as.factor(Accident_Type)71","as.factor(Accident_Type)72","as.factor(Accident_Type)73","as.factor(Accident_Type)74","as.factor(Accident_Type)75","as.factor(Accident_Type)99","Accident_CategoryFixed Object","Accident_CategoryMoving Object","Accident_CategoryNo Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand or gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater accumulation","Surface_CondWet","IlluminationDay and clear","IlluminationDay and semi-dark","IlluminationNight and dark","IlluminationNight and lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool area","WeatherBlack Ice","WeatherClear Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days","cluster_id_0","cluster_id_1","cluster_id_2","cluster_id_3","cluster_id_4","cluster_id_5"
2012-01-11,72,139,1,0,7,8,90,10,0,1,0,0,0,5,2,0,0,1,30,0,2,2,0,0,0,0,0,0,1,6,21,44,0,56,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,58,1,0,0,0,2,6,30,2,0,0,0,36,2,0,0,0,0,0,7,0,14,34,1,0,27,28,0,5,0,28,0,2,0,38,19,0,0,0,3,0,0,-925.2,4599,684,-1316.4,7282.68,321,0,144,5,5,20,13,8,21
2012-01-12,125,242,0,0,23,23,169,7,6,7,3,0,0,2,4,0,0,1,43,0,4,4,0,0,0,0,2,2,0,20,46,59,0,95,5,1,0,0,0,0,0,0,2,1,3,0,1,0,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,14,101,1,3,0,0,4,12,57,0,0,0,0,7,1,5,0,0,0,4,94,0,1,64,14,0,29,64,0,3,2,44,0,2,1,12,5,0,0,0,67,27,0,-871.875,10432.2916666667,1531.25,-1164.58333333333,12489.7916666667,359.375,0,375,16,10,31,24,18,26
2012-01-13,156,298,0,0,15,15,191,16,8,2,0,0,0,5,5,1,0,1,69,0,3,3,0,0,0,0,0,0,0,12,63,81,0,122,3,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,0,2,1,0,2,0,0,0,4,0,0,0,1,0,0,16,126,1,0,0,0,1,26,55,2,0,0,0,1,2,2,0,0,0,6,134,0,1,58,13,0,61,60,0,7,0,78,3,4,2,8,10,2,0,0,105,13,0,-689.65,14111.5,1326,-895.05,15333.89,1287,0,624,14,13,46,21,17,45
2012-01-14,133,259,0,0,9,9,178,5,3,2,0,0,0,1,8,0,0,0,62,0,2,2,0,0,0,0,0,0,0,7,46,80,0,108,4,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,1,9,114,2,1,0,1,2,24,47,0,1,0,0,3,10,7,0,0,0,3,97,0,7,59,8,1,52,47,0,3,0,75,1,2,0,79,21,1,0,0,23,1,0,-2087.54583333333,9093.875,803.541666666667,-2687.70833333333,13360.5704166667,3458,133,665,13,7,34,26,17,36
2012-01-15,115,230,0,0,11,11,158,1,1,2,0,0,0,1,8,0,0,0,59,0,0,0,0,0,0,0,0,0,0,8,44,63,0,85,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,7,89,2,0,0,0,1,19,44,1,2,0,0,8,10,6,0,0,0,2,66,0,8,35,12,1,43,41,0,4,0,63,0,1,0,76,12,0,0,0,5,0,0,-2040.77083333333,7546.875,742.708333333333,-2606.66666666667,11736.325,2721.66666666667,115,690,13,8,33,15,16,30
2012-01-16,136,263,1,0,16,17,169,15,4,5,1,0,0,5,3,0,0,1,60,0,2,2,0,0,0,1,0,1,1,12,44,79,0,107,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,2,9,111,2,0,0,0,3,19,50,0,0,0,0,10,9,3,0,0,0,7,72,0,16,67,9,0,34,47,0,5,1,63,0,3,0,88,8,1,0,0,10,2,0,-1662.03333333333,10239.6666666667,929.333333333333,-2138.6,13831.71,2714.08695652174,0,0,13,9,32,25,23,34
2012-01-17,165,318,0,1,24,25,217,8,3,7,1,0,0,4,3,0,0,2,73,0,7,7,0,0,0,0,0,0,0,18,59,87,1,129,7,1,0,0,0,1,0,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,139,2,1,0,0,4,27,62,2,0,1,0,4,7,12,0,0,0,11,105,1,5,84,10,0,47,63,0,6,2,77,0,4,5,20,14,11,0,0,87,4,0,-764.5,14774.375,749.375,-1006.5,16443.9,1081.66666666667,0,165,19,10,41,27,17,51
2012-01-18,177,353,0,0,26,26,244,12,5,6,1,0,0,4,2,0,0,2,77,0,5,5,0,0,0,0,0,0,0,20,71,86,0,147,4,1,0,0,0,0,0,0,2,3,1,2,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,14,152,1,2,0,0,2,22,67,0,0,0,0,10,9,63,0,0,0,8,65,0,6,98,9,3,45,66,0,8,1,87,1,1,1,112,19,0,0,0,16,0,10,-1503.025,11482.875,1416,-2481.6875,17723.01,4520.875,0,354,30,17,43,22,28,37
2012-01-19,144,289,0,0,22,22,207,13,5,0,0,0,0,5,3,0,0,1,55,0,7,7,0,0,0,0,0,0,0,21,53,70,0,122,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,130,1,3,0,0,3,20,66,0,0,0,0,12,15,33,0,0,0,12,45,0,17,77,10,0,34,58,0,7,3,59,0,8,1,97,20,0,0,0,5,0,0,-1349.4,9492,978,-2128.8,14527.14,2646,0,432,18,8,29,33,22,34
2012-01-20,104,214,0,0,16,16,151,10,1,2,0,0,0,4,3,0,0,0,43,0,6,6,0,0,0,0,0,0,0,15,34,55,0,87,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0,0,0,0,1,9,44,0,0,0,0,10,12,15,0,0,1,4,32,0,18,57,4,0,28,51,0,4,0,40,1,2,0,68,14,0,1,0,6,0,0,-1175.2,6287.66666666667,628.333333333333,-1820.43333333333,10521.3766666667,2673.66666666667,0,416,8,7,22,16,16,35
