"Date","SeverityDeadly","SeverityLight.Injury","SeverityMaterial.High","SeverityMaterial.Low","SeveritySevere.Injury","Accident_CategoryFixed.Object","Accident_CategoryMoving.Object","Accident_CategoryNo.Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard.snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand.or.gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater.accumulation","Surface_CondWet","IlluminationDay.and.clear","IlluminationDay.and.semi.dark","IlluminationNight.and.dark","IlluminationNight.and.lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool.area","WeatherBlack.Ice","WeatherClear.Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy.Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong.Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days"
2012-01-18,0,6,18,13,0,0,35,1,1,0,0,0,5,21,0,0,0,0,0,2,21,0,0,0,1,11,0,0,26,2,0,6,10,0,2,0,23,0,0,0,26,6,0,0,0,1,0,2,-8.49166666666667,64.875,8,-14.0208333333333,100.13,25.5416666666667,0,2
2012-01-19,0,5,11,18,0,0,31,0,2,0,0,1,6,13,0,0,0,0,4,3,9,0,0,0,0,14,0,2,19,1,0,12,13,0,0,0,18,0,2,1,23,5,0,0,0,2,0,0,-9.37083333333333,65.9166666666667,6.79166666666667,-14.7833333333333,100.882916666667,18.375,0,3
2012-01-20,0,5,11,19,0,0,34,0,0,0,0,1,2,17,0,0,0,0,2,5,6,0,0,1,1,11,0,6,20,2,0,8,16,0,1,0,15,0,2,0,25,4,0,1,0,0,0,0,-11.3,60.4583333333333,6.04166666666667,-17.5041666666667,101.167083333333,25.7083333333333,0,4
2012-01-21,0,2,13,13,0,3,21,0,0,0,1,1,5,6,0,0,0,0,2,6,6,0,0,0,1,4,0,5,15,1,0,6,8,0,1,0,15,0,0,0,20,3,0,0,0,0,0,0,-14.0166666666667,63.4166666666667,5.83333333333333,-19.5333333333333,101.73,15.5833333333333,1,5
2012-01-22,0,2,3,5,0,2,8,0,0,0,0,0,3,3,0,0,0,0,2,0,2,0,0,0,0,1,0,3,3,0,0,5,2,0,1,0,5,0,0,0,8,1,0,0,0,0,0,0,-12.4291666666667,76.0833333333333,4.58333333333333,-15.8208333333333,102.2625,15.7916666666667,1,6
2012-01-23,0,4,6,12,0,1,21,0,0,0,0,1,5,7,0,0,0,0,2,1,1,0,0,0,1,3,0,7,7,1,0,6,4,0,0,0,15,0,1,0,5,4,4,0,0,1,0,0,-0.675,81.9583333333333,6,-3.4,100.837083333333,21.3636363636364,0,0
2012-01-24,0,2,8,13,1,5,17,0,0,0,0,2,3,9,0,0,0,0,2,0,0,0,0,0,0,0,0,16,15,1,0,4,13,0,0,0,9,0,1,0,5,13,0,0,0,0,0,0,2.99583333333333,77.9583333333333,8,-0.516666666666667,100.210833333333,20.5,0,1
2012-01-25,0,1,6,5,0,0,12,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,0,0,2,0,0,4,5,1,0,4,7,0,0,0,4,0,0,1,6,1,0,0,0,0,0,0,-3.47083333333333,64.2916666666667,6.25,-9.27916666666667,101.372916666667,24.5416666666667,0,2
2012-01-26,0,3,7,7,0,0,16,0,0,0,0,0,3,7,0,0,0,0,10,0,0,0,0,0,0,4,0,1,7,2,0,6,5,0,0,0,8,0,2,0,12,2,0,0,0,0,0,0,-5.82083333333333,63.4583333333333,6.33333333333333,-11.7291666666667,101.24375,14.8333333333333,0,3
2012-01-27,0,8,20,13,0,3,37,0,1,0,0,1,5,22,0,0,0,0,3,0,15,0,0,0,4,13,0,3,13,5,0,22,17,0,1,0,23,0,0,5,6,1,7,0,1,17,0,0,-1.5,91.625,7.29166666666667,-2.6625,99.1333333333333,11.2173913043478,0,4
2012-01-28,0,2,7,12,0,1,17,1,0,0,0,0,3,13,0,0,0,0,1,2,3,0,0,0,2,6,0,5,9,0,0,10,9,0,0,0,12,0,0,0,12,5,0,0,0,0,0,0,0.5625,78.375,6.5,-2.77916666666667,100.005416666667,20.125,1,5
2012-01-29,0,0,10,10,0,0,18,0,0,0,0,0,4,8,0,0,0,0,5,1,4,0,0,0,1,6,0,2,8,0,0,9,6,0,0,0,14,0,0,0,16,1,0,0,0,1,0,0,-0.6,61.5,8.375,-7.15833333333333,100.194166666667,22.0833333333333,1,6
2012-01-30,0,2,7,13,0,0,20,0,0,0,0,0,1,9,0,0,0,0,8,0,0,0,0,0,1,6,0,2,12,1,0,6,12,0,1,0,6,0,0,0,15,2,0,0,0,0,0,0,-7.02083333333333,60.625,4.91666666666667,-13.4625,101.1725,23.4583333333333,0,0
2012-01-31,0,1,11,14,0,1,23,0,1,0,0,0,3,8,0,0,0,0,3,1,2,0,0,0,0,13,0,3,10,1,0,10,6,0,0,0,14,0,1,0,6,3,0,0,1,9,1,0,-7.7875,80.25,9.25,-10.6416666666667,100.995833333333,6.75,0,1
2012-02-01,0,2,10,11,0,3,19,0,0,0,0,0,5,10,0,0,0,1,1,1,2,0,0,0,2,9,0,4,8,4,0,5,8,0,1,0,12,0,0,2,5,3,5,0,1,3,0,0,-5,90.9583333333333,8.53846153846154,-6.25,100.135,2.15384615384615,0,2
2012-02-02,0,0,9,14,1,1,22,0,1,0,0,0,4,7,0,0,0,0,3,0,1,0,0,0,2,6,0,6,11,0,0,8,9,0,1,1,8,0,3,0,8,9,0,0,0,2,0,0,-7.13333333333333,75.625,6.36676587301587,-10.7375,101.3975,18.5661057692308,0,3
2012-02-03,0,2,10,17,0,0,26,0,1,0,0,0,4,13,0,0,0,0,1,0,1,0,0,0,3,8,0,11,12,4,0,12,9,0,2,0,17,0,0,0,11,8,1,1,0,4,0,0,-5.61666666666667,79.9583333333333,4.66666666666667,-8.5375,101.89,21,0,4
2012-02-04,0,2,9,13,0,1,23,0,0,0,0,4,4,6,0,0,0,0,5,3,0,0,0,0,0,6,0,3,9,1,0,6,7,0,0,0,10,0,2,0,17,1,0,0,0,0,0,0,-6.59166666666667,68.5833333333333,6,-11.4458333333333,101.640416666667,32.0416666666667,1,5
2012-02-05,0,2,6,4,0,0,9,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0,1,2,0,2,4,0,0,6,7,0,0,0,5,0,0,0,5,4,0,0,0,0,0,0,-7.06666666666667,72.5416666666667,6.45833333333333,-11.2083333333333,101.190833333333,20.9166666666667,1,6
2012-02-06,0,4,7,9,0,2,16,1,0,0,0,0,4,8,0,0,0,0,4,1,0,0,0,0,0,2,0,12,13,1,0,5,10,0,0,1,7,0,1,0,11,8,0,0,0,0,0,0,1.7625,71,6.83333333333333,-2.9625,100.174583333333,21.125,0,0
2012-02-07,0,5,8,5,0,1,14,1,1,0,0,0,4,7,0,0,0,0,12,1,2,0,0,0,1,1,0,1,10,0,0,7,6,0,3,0,9,0,0,0,16,2,0,0,0,0,0,0,-4.25833333333333,51.5,7.875,-13.05,101.15125,20.7916666666667,0,1
2012-02-08,0,3,10,14,0,2,24,0,0,0,0,2,4,12,0,0,0,0,16,1,3,0,0,0,1,1,0,4,17,2,0,6,8,0,0,1,16,0,1,0,25,1,0,0,0,0,0,0,-6.07083333333333,51.375,7.20833333333333,-14.7875,101.282083333333,22.0416666666667,0,2
2012-02-09,0,4,8,4,0,0,15,0,0,0,0,0,1,9,0,0,0,0,9,0,2,0,0,0,1,0,0,3,13,1,0,2,12,0,0,1,3,0,0,0,16,0,0,0,0,0,0,0,-0.816666666666667,66.0416666666667,6.75,-6.49583333333333,100.68625,21.4166666666667,0,3
2012-02-10,0,4,9,7,0,1,17,1,0,0,0,0,2,5,0,0,0,0,9,0,0,0,0,0,0,1,0,5,9,0,0,7,11,0,0,0,6,0,0,0,9,5,0,0,0,1,0,0,0.279166666666667,68.7083333333333,7.70833333333333,-4.85416666666667,100.5575,20.7916666666667,0,4
2012-02-11,0,5,6,6,0,1,15,0,2,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,2,0,7,7,0,0,9,8,0,0,0,7,1,0,0,11,4,0,0,0,1,0,0,-11.575,67.9583333333333,10.2916666666667,-16.3708333333333,100.400833333333,9.33333333333333,1,5
2012-02-12,0,3,4,5,0,0,12,0,0,0,0,0,0,6,0,0,0,0,6,1,0,0,0,0,0,0,0,1,6,0,0,2,6,0,0,0,4,0,0,0,6,4,0,0,0,0,0,0,-13.8541666666667,53.0833333333333,7.58333333333333,-21.4458333333333,100.123333333333,27.625,1,6
2012-02-13,0,3,10,6,0,1,17,0,0,0,0,0,2,8,0,0,0,0,16,0,0,0,0,0,0,1,0,0,10,0,0,7,12,0,0,0,5,0,0,0,15,2,0,0,0,0,0,0,-7.25833333333333,55.5416666666667,5.66666666666667,-14.8458333333333,100.091666666667,17.875,0,0
2012-02-14,0,4,7,14,1,3,21,1,0,0,0,1,8,9,0,0,0,0,17,1,1,0,0,0,0,0,0,2,18,0,0,3,13,0,0,0,9,0,2,0,19,2,0,0,0,0,0,0,-4.55833333333333,64.3333333333333,5.25,-10.3458333333333,100.616666666667,15.5416666666667,0,1
2012-02-15,0,6,7,4,0,0,16,0,0,0,0,0,2,8,0,0,0,0,4,0,0,0,0,0,0,0,0,10,10,1,0,3,7,0,1,0,6,0,1,0,1,4,4,1,0,2,0,0,1.27916666666667,80.375,3.33333333333333,-1.8375,101.214583333333,23.375,0,2
2012-02-16,0,5,7,7,0,1,18,0,0,0,0,1,5,8,0,0,0,0,10,0,0,0,0,0,0,0,0,7,9,0,0,8,7,0,0,1,9,0,1,0,10,7,0,0,0,0,0,0,2.82916666666667,76.0833333333333,6,-1.13333333333333,101.124166666667,20.6666666666667,0,3
2012-02-17,0,1,7,14,0,0,22,0,0,0,0,0,2,12,0,0,0,0,14,0,0,0,0,0,0,1,0,4,8,5,0,6,8,0,0,0,13,0,0,0,5,12,0,0,0,1,0,0,2.425,74.0416666666667,6.79166666666667,-1.9125,100.200833333333,20.0833333333333,0,4
2012-02-18,0,5,4,10,1,0,18,0,0,0,0,0,3,7,0,0,0,0,15,0,0,0,0,0,0,0,0,3,11,1,0,5,9,0,0,0,10,0,0,0,14,2,1,0,0,0,0,0,0.283333333333333,63.5,6.375,-5.90416666666667,100.399583333333,23.2083333333333,1,5
2012-02-19,0,1,3,5,0,0,8,0,0,0,0,0,1,4,0,0,0,0,6,0,1,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,3,0,1,0,7,0,0,0,0,0,0,0,-4.02083333333333,63.1666666666667,5.125,-10.0416666666667,101.028333333333,27.125,1,6
2012-02-20,0,4,2,1,0,0,6,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,-5.4,60.5416666666667,6.33333333333333,-11.8916666666667,101.513333333333,25.3333333333333,0,0
2012-02-21,0,3,7,8,0,2,15,0,0,0,0,3,2,9,0,0,0,0,14,0,1,0,0,0,0,0,0,0,10,0,0,5,9,0,0,0,6,0,0,0,12,3,0,0,0,0,0,0,-0.341666666666667,62.25,6.83333333333333,-6.97083333333333,100.920416666667,21.2083333333333,0,1
2012-02-22,0,5,8,13,0,1,24,0,0,0,0,1,2,13,1,0,0,0,11,0,0,0,0,0,0,1,0,9,15,1,0,6,17,0,0,0,6,0,0,0,12,6,5,0,0,0,0,0,3.18333333333333,79.375,7.54166666666667,-0.170833333333333,99.1066666666667,20.3333333333333,0,2
2012-02-23,1,0,4,15,0,0,19,0,0,0,0,0,3,11,0,0,0,0,10,0,2,0,0,0,0,0,0,5,12,2,0,3,8,0,0,0,10,0,0,0,13,3,1,0,0,0,0,0,1.75,77.4166666666667,4.91666666666667,-1.86666666666667,99.11625,23.75,0,3
2012-02-24,0,3,15,12,0,2,24,0,0,0,1,1,5,12,1,0,0,0,5,0,0,0,0,0,1,20,0,2,8,6,0,13,9,0,1,0,19,0,0,0,7,2,1,0,0,8,8,0,0.0333333333333333,82.25,5.29166666666667,-2.71666666666667,99.3033333333333,16.5652173913043,0,4
