"Data","Trend","Seasonal28","Seasonal362","Seasonal363","Seasonal364","Seasonal365","Seasonal366","Remainder"
61,83.4002943183458,-6.83852648286144,-0.0220654092047261,-1.75293407157147,-1.62453284466359,2.05829569759057,5.70723037629137,-19.9277615839266
47,83.4173612793222,-3.14216498085758,-19.6788639956986,-13.4041434042504,5.82387123538512,4.43018683864594,13.5605464992908,-24.0067934718375
68,83.4344282402986,-1.1710080975325,-5.68899028438494,-12.3238402407833,-15.470597036005,0.482452446468148,27.9261697469724,-9.18861477503336
75,83.4514952012749,8.9889556969896,-2.80043188100088,-9.53232732152966,-16.5658256092943,-3.93349662432688,13.9394952788765,1.45213525901066
92,83.4685621622513,17.650446207246,-3.65340554309,0.576231542361274,-22.9514776815272,-4.62682443134698,24.7602769443052,-3.22380920019958
65,83.4856291232277,27.7755436398699,-11.9510427888024,-1.49302247865063,-22.4003490984544,-16.6659457840417,12.9435428758258,-6.69435548897417
73,83.502696084204,4.37021721518492,15.8246429566441,15.2873883453266,-23.3748628458885,-27.9984522844639,12.8613803422922,-7.47300981329953
68,83.5197630451804,3.28924967522724,3.02790438384045,1.59563069172769,-5.35541880686464,-40.1823313420526,11.3254926747012,10.7797096782401
66,83.5368300061568,16.7542801729696,-5.95778788180619,3.08329419559579,6.79010351912257,-32.0819604014745,-11.1808759058234,5.05611629525933
80,83.5538969671332,6.20754887333102,6.77410417638917,21.5437525889373,7.04995591540386,-41.7728259672316,-6.86129180835989,3.50485925439713
72,83.5709639281095,4.75812606457831,5.09147703575289,22.7937186559353,10.8103092508975,-36.976545153948,-16.4088718642614,-1.63917791706416
125,83.5880308890859,5.71880928915976,-6.28917054628707,38.6394499976826,22.7923272347988,-17.2919032216342,-22.6055643223247,20.4480206795191
156,83.6050978500623,6.47168697373425,13.0916671692319,56.4327536170704,27.1215031093329,-14.5336833136097,-40.8240972195324,24.6350718137103
133,83.6221648110386,-15.6009295972772,-10.2898681296628,35.1071915261263,32.1398344481122,9.58624921415752,-21.3632965369735,19.7986542644792
115,83.639231772015,-28.8539294584389,-16.163804894973,19.0926715150579,34.7257592533461,28.7161707370555,-35.6843469099972,29.5282479859346
136,83.6562987329914,-13.6188188009424,-0.160985465040528,29.1272626165675,26.9368185815098,22.8397291273137,-24.6851532350017,11.9048484426022
165,83.6733656939678,-2.64792512508186,-1.23801728145002,19.0568941447504,32.1922682459285,38.0527939141484,-21.8149679423548,17.7255883500916
