nid,url,titre,id-camera,id-arrondissement,arrondissement,description,latitude,longitude,axe-routier-nord-sud,axe-routier-est-ouest,url-image-en-direct,url-video-en-direct,url-image-direction-nord,url-image-direction-est,url-image-direction-sud,url-image-direction-ouest
"251","https://ville.montreal.qc.ca/circulation/map/3/251","Chemin Queen-Mary et avenue Victoria","17","3","Côte-des-Neiges–Notre-Dame-de-Grâce","","45.488626075562","-73.624788187505","Avenue Victoria","Chemin Queen-Mary","https://ville.montreal.qc.ca/Circulation-Cameras/GEN17.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN17.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_ouest.png",
"252","https://ville.montreal.qc.ca/circulation/map/5/252","Avenue Dollard et boulevard Newman","18","5","LaSalle","","45.430583245602","-73.634797180254","Avenue Dollard","Boulevard Newman","https://ville.montreal.qc.ca/Circulation-Cameras/GEN18.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN18.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_ouest.png",
"253","https://ville.montreal.qc.ca/circulation/map/19/253","Rue Jean-Talon et boulevard Pie-IX","19","19","Villeray–Saint-Michel–Parc-Extension","","45.566541468558","-73.591364488301","Boulevard Pie-IX","Rue Jean-Talon","https://ville.montreal.qc.ca/Circulation-Cameras/GEN19.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN19.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_ouest.png",
"254","https://ville.montreal.qc.ca/circulation/map/4/254","Rue Notre-Dame / rue Victoria et boulevard Saint-Joseph","20","4","Lachine","","45.440953772394","-73.651335343661","Rue Notre-Dame / rue Victoria","Boulevard Saint-Joseph","https://ville.montreal.qc.ca/Circulation-Cameras/GEN20.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN20.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_ouest.png",
"256","https://ville.montreal.qc.ca/circulation/map/3/256","Boulevard Décarie et avenue Van Horne inter. Ouest","26","3","Côte-des-Neiges–Notre-Dame-de-Grâce","","45.489341193639","-73.642362327171","Boulevard Décarie","Avenue Van Horne","https://ville.montreal.qc.ca/Circulation-Cameras/GEN26.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN26.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_ouest.png",
"257","https://ville.montreal.qc.ca/circulation/map/19/257","Boulevard des Grandes-Prairies et boulevard Pie-IX","27","19","Villeray–Saint-Michel–Parc-Extension","","45.581624062407","-73.625551097451","Boulevard Pie-IX","Boulevard des Grandes-Prairies","https://ville.montreal.qc.ca/Circulation-Cameras/GEN27.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN27.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_ouest.png",
"258","https://ville.montreal.qc.ca/circulation/map/14/258","Boulevard Pie-IX et boulevard Rosemont","28","14","Rosemont–La Petite-Patrie","","45.560770200331","-73.573839080897","Boulevard Pie-IX","Boulevard Rosemont","https://ville.montreal.qc.ca/Circulation-Cameras/GEN28.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN28.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_ouest.png",
"259","https://ville.montreal.qc.ca/circulation/map/18/259","Rue La Fontaine et avenue Papineau","29","18","Ville-Marie","","45.524615802340","-73.556833035452","Avenue Papineau","Rue La Fontaine","https://ville.montreal.qc.ca/Circulation-Cameras/GEN29.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN29.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_ouest.png",
"260","https://ville.montreal.qc.ca/circulation/map/6/260","Rue Saint-Denis et boulevard Saint-Joseph","32","6","Le Plateau-Mont-Royal","","45.526233165289","-73.587897580322","Rue Saint-Denis","Boulevard Saint-Joseph","https://ville.montreal.qc.ca/Circulation-Cameras/GEN32.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN32.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_ouest.png",
"261","https://ville.montreal.qc.ca/circulation/map/1/261","Avenue Christophe-Colomb et boulevard Crémazie inter. Nord","35","1","Ahuntsic-Cartierville","","45.550738892138","-73.629692584845","Avenue Christophe-Colomb","Boulevard Crémazie","https://ville.montreal.qc.ca/Circulation-Cameras/GEN35.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN35.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_ouest.png",
"262","https://ville.montreal.qc.ca/circulation/map/1/262","Boulevard Crémazie et boulevard Saint-Laurent inter. Nord-Est","36","1","Ahuntsic-Cartierville","","45.542487059828","-73.641351970411","Boulevard Saint-Laurent","Boulevard Crémazie","https://ville.montreal.qc.ca/Circulation-Cameras/GEN36.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN36.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen36_ouest.png",
"263","https://ville.montreal.qc.ca/circulation/map/1/263","Boulevard de l'Acadie et boulevard Henri-Bourassa","37","1","Ahuntsic-Cartierville","","45.534293128547","-73.680889107864","Boulevard de l'Acadie","Boulevard Henri-Bourassa","https://ville.montreal.qc.ca/Circulation-Cameras/GEN37.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN37.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen37_ouest.png",
"264","https://ville.montreal.qc.ca/circulation/map/1/264","Boulevard de l'Acadie et rue Sauvé","38","1","Ahuntsic-Cartierville","","45.535648891384","-73.665602435395","Boulevard de l'Acadie","Rue Sauvé","https://ville.montreal.qc.ca/Circulation-Cameras/GEN38.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN38.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen38_ouest.png",
"265","https://ville.montreal.qc.ca/circulation/map/19/265","Boulevard Crémazie et boulevard Saint-Michel inter. Nord-Ouest","39","19","Villeray–Saint-Michel–Parc-Extension","","45.562423855806","-73.607428096710","Boulevard Saint-Michel","Boulevard Crémazie","https://ville.montreal.qc.ca/Circulation-Cameras/GEN39.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN39.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen39_ouest.png",
"266","https://ville.montreal.qc.ca/circulation/map/10/266","Boulevard Pie-IX et rue Prieur","41","10","Montréal-Nord","","45.588263812424","-73.634559306595","Boulevard Pie-IX","Rue Prieur","https://ville.montreal.qc.ca/Circulation-Cameras/GEN41.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN41.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen41_ouest.png",
"267","https://ville.montreal.qc.ca/circulation/map/1/267","Boulevard Crémazie et avenue Papineau inter. Nord-Ouest","42","1","Ahuntsic-Cartierville","","45.554755251759","-73.622821852279","Avenue Papineau","Boulevard Crémazie","https://ville.montreal.qc.ca/Circulation-Cameras/GEN42.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN42.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen42_ouest.png",
"268","https://ville.montreal.qc.ca/circulation/map/1/268","Boulevard Crémazie et rue Saint-Denis inter. Nord","43","1","Ahuntsic-Cartierville","","45.545382787991","-73.639108929506","Rue Saint-Denis","Boulevard Crémazie","https://ville.montreal.qc.ca/Circulation-Cameras/GEN43.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN43.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen43_ouest.png",
"269","https://ville.montreal.qc.ca/circulation/map/19/269","Rue Hutchison et rue Jean-Talon","44","19","Villeray–Saint-Michel–Parc-Extension","","45.529664082423","-73.622680633906","Rue Hutchison","Rue Jean-Talon","https://ville.montreal.qc.ca/Circulation-Cameras/GEN44.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN44.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen44_ouest.png",
"270","https://ville.montreal.qc.ca/circulation/map/18/270","Chemin de la Côte-des-Neiges et rue Guy / rue Sherbrooke","45","18","Ville-Marie","","45.496563817667","-73.581729242118","Chemin de la Côte-des-Neiges","Rue Guy / rue Sherbrooke","https://ville.montreal.qc.ca/Circulation-Cameras/GEN45.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN45.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen45_ouest.png",
"271","https://ville.montreal.qc.ca/circulation/map/18/271","Rue Berri et boulevard De Maisonneuve","46","18","Ville-Marie","","45.515316260200","-73.561100034201","Rue Berri","Boulevard De Maisonneuve","https://ville.montreal.qc.ca/Circulation-Cameras/GEN46.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN46.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen46_ouest.png",
"272","https://ville.montreal.qc.ca/circulation/map/18/272","Rue Peel et avenue des Pins","48","18","Ville-Marie","","45.504549934990","-73.581945765122","Rue Peel","Avenue des Pins","https://ville.montreal.qc.ca/Circulation-Cameras/GEN48.jpeg","https://ville.montreal.qc.ca/circulationhttp://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN48.mp4","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen48_nord.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen48_est.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen48_sud.png","https://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen48_ouest.png",
