id_ruelle,arrondissement,limite_1,limite_2,longueur_m,largeur_m,type_surface,amenagement_vert,condition_surface,condition_drainage,cote_globale,commentaires
104000637,Saint-Laurent,boulevard Décarie,rue Gohier,35,4.2,Asphalte,0,Bon,Très bon,2.5,
104000638,Saint-Laurent,rue Gohier,boulevard Décarie,35,4.2,Asphalte,0,Très bon,Très bon,1.5,
104000639,Saint-Laurent,rue Connaught,rue Patricia,35,4.3,Asphalte,0,Très bon,Très bon,0.5,
104000640,Saint-Laurent,rue Ouimet,boulevard Décarie,35,4.3,Asphalte,0,Bon,Très bon,2,
104000641,Saint-Laurent,rue Patricia,rue Connaught,35,4.3,Asphalte,0,Très bon,Très bon,0.5,
104000642,Saint-Laurent,rue Filiatrault,rue Cartier,52,3,Asphalte,0,Très bon,Très bon,1.5,
104000446,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Regent,chemin Upper-Lachine,193,3.5,Béton,0,Très bon,Très bon,1.5,
104000447,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,216,3.2,Béton,0,Très bon,Très bon,1.5,
104000448,Côte-Des-Neiges - Notre-Dame-de-Grâce,chemin Upper Lachine,rue Saint-Jacques,161,4.6,Béton,0,Bon,Très bon,2,
104000449,Côte-Des-Neiges - Notre-Dame-de-Grâce,chemin de la Côte-Saint-Antoine,avenue Notre-Dame-De-Grâce,180,4.3,Asphalte,0,Très bon,Très bon,1.5,
104000450,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,201,3.9,Béton,0,Bon,Très bon,2,
104000451,Côte-Des-Neiges - Notre-Dame-de-Grâce,chemin Upper Lachine,rue Saint-Jacques,186,4.3,Béton,0,Bon,Très bon,2,Revêtement mixte asphalte et béton
104000452,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,221,3.7,Béton,1,Très bon,Très bon,2,Ruelle identifiée verte - pourtour du puisard perforé près de l'accès rue De Maisonneuve
104000453,Côte-Des-Neiges - Notre-Dame-de-Grâce,chemin de la Côte-Saint-Antoine,avenue Notre-Dame-De-Grâce,180,4.5,Asphalte,0,Très bon,Très bon,0.5,
104000647,Saint-Laurent,rue Cardinal,rue Gohier,46,3.9,Asphalte,0,Très bon,Très bon,1.5,
104000648,Saint-Laurent,rue de l'Église,rue Beaudet,39,4.6,Asphalte,0,Bon,Très bon,2.5,
104000649,Saint-Laurent,rue Saint-Germain,rue Filiatrault,40,4.7,Asphalte,0,Très bon,Très bon,2,
104000650,Saint-Laurent,rue Gohier,rue Cardinal,44,4.3,Asphalte,0,Très bon,Très bon,0.5,
104000651,Saint-Laurent,rue Gohier,boulevard Décarie,46,4.3,Asphalte,0,Très bon,Très bon,0.5,
104000454,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Clifton,chemin Upper-Lachine,203,4.1,Asphalte,0,Très bon,Très bon,0.5,
104000455,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Notre-Dame-De-Grâce,chemin de la Côte-Saint-Antoine,180,4.6,Asphalte,0,Bon,Très bon,2,Revêtement mixte asphalte et béton
104000456,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Dupuis,chemin de la Côte-Sainte-Catherine,92,9.2,Asphalte,0,Très bon,Très bon,1.5,
104000457,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Dupuis,chemin de la Côte-Sainte-Catherine,93,9.1,Asphalte,0,Bon,Très bon,2,
104000458,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Dupuis,chemin de la Côte-Sainte-Catherine,93,9.1,Asphalte,0,Très bon,Très bon,1.5,
104000459,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Dupuis,chemin de la Côte-Sainte-Catherine,93,9.2,Asphalte,0,Très bon,Très bon,0.5,
104000460,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Harley,rue Saint-Jacques,192,4.6,Béton,0,Bon,Très bon,1.5,
104000461,Côte-Des-Neiges - Notre-Dame-de-Grâce,rue Ferrier,rue Paré,225,4,Asphalte,0,Très bon,Très bon,0.5,Revêtement mixte asphalte et gravier - ruelle divisée en deux par une clôture
104000462,Côte-Des-Neiges - Notre-Dame-de-Grâce,chemin Upper-Lachine,boulevard De Maisonneuve Ouest,150,6,Béton,0,Très bon,Très bon,1.5,
104000463,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,253,3.6,Asphalte,0,Bon,Très bon,1.5,
104000464,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,239,4,Béton,0,Bon,Très bon,2,
104000465,Côte-Des-Neiges - Notre-Dame-de-Grâce,rue Sylvia-Smith,chemin Upper-Lachine,168,5.8,Béton,0,Très bon,Très bon,1.5,
104000269,Ahuntsic - Cartierville,boulevard Henri-Bourassa Est,rue Prieur Est,247,5,Béton,0,Très bon,Très bon,2,
104000270,Ahuntsic - Cartierville,avenue Curotte,rue Garnier,232,5.7,Béton,0,Très bon,Très bon,1.5,
104000271,Ahuntsic - Cartierville,rue Sauvé Ouest,rue de Port-Royal Ouest,216,6.2,Asphalte,,Très bon,,0.5,Stationnement privé - présence de débris et bloc de béton
104000272,Ahuntsic - Cartierville,rue De Meulles,rue De Tracy,247,5.8,Béton,0,Très bon,Très bon,1.5,
104000273,Ahuntsic - Cartierville,rue Cousineau,rue Périnault,298,10.4,Asphalte,0,Très bon,Très bon,1.5,
104000466,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Harley,rue Saint-Jacques,213,4.6,Béton,0,Très bon,Très bon,2,
104000467,Côte-Des-Neiges - Notre-Dame-de-Grâce,boulevard De Maisonneuve Ouest,rue Sherbrooke Ouest,252,3.9,Béton,0,Bon,Très bon,2,
104000468,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Brillon,avenue Notre-Dame-De-Grâce,216,4.6,Asphalte,0,Très bon,Très bon,1.5,
104000275,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Notre-Dame-De-Grâce,avenue Brillon,6,3.6,,,,,,Ruelle sans revêtement (gravier) - présence d'une construction privée (terrasse) sur la ruelle
104000276,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Girouard,rue Addington,19,3.9,Asphalte,0,Très bon,Très bon,1.5,
104000277,Côte-Des-Neiges - Notre-Dame-de-Grâce,rue Park Row Est,avenue Montclair,32,2.4,,,,,,Ruelle sans revêtement (gravier et terre)
104000278,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Northcliffe,boulevard Décarie,30,3,Asphalte,0,Très bon,Très bon,0.5,
104000279,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Belgrave,avenue de Clifton,28,3.7,,,,,,Ruelle sans revêtement (gravier)
104000280,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue d'Oxford,avenue Harvard,29,3.6,Asphalte,0,Bon,Très bon,1.5,Revêtement mixte asphalte et béton
104000281,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Girouard,avenue Old Orchard,28,3.7,Asphalte,0,Très bon,Très bon,1.5,
104000282,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Old Orchard,avenue d'Oxford,29,3.7,Asphalte,0,Bon,Bon,2,Revêtement mixte asphalte et gravier
104000283,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Belgrave,avenue de Clifton,29,3.6,Asphalte,0,Très bon,Très bon,0.5,
104000284,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Clifton,avenue Regent,29,3.7,Asphalte,0,Très bon,Très bon,0.5,
104000285,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Clifton,avenue Belgrave,29,3.7,Béton,0,Très bon,Très bon,2,
104000286,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Hingston,avenue de Hampton,36,3,Béton,0,Très bon,Très bon,1.5,
104000287,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Regent,avenue de Clifton,29,3.7,Asphalte,0,Très bon,Très bon,1.5,
104000134,Ahuntsic - Cartierville,rue Basile-Routhier,rue Foucher,52,4.4,Asphalte,0,Très bon,Très bon,0.5,
104000135,Ahuntsic - Cartierville,avenue Larose,rue J.-J.-Gagnier,52,4.4,Béton,0,Très bon,Très bon,0.5,
104000136,Ahuntsic - Cartierville,avenue Curotte,avenue Hamel,66,3.5,Béton,0,Très bon,Très bon,1.5,
104000137,Ahuntsic - Cartierville,avenue Curotte,rue Francis,63,3.6,Béton,0,Très bon,Très bon,0.5,
104000138,Ahuntsic - Cartierville,rue Basile-Routhier,rue Foucher,51,4.5,Béton,0,Bon,Bon,2,
104000139,Ahuntsic - Cartierville,avenue Hamel,boulevard Olympia,66,3.5,Béton,0,Très bon,Très bon,0.5,
104000140,Ahuntsic - Cartierville,avenue Péloquin,rue Saint-Hubert,39,6.1,,,,,,Ruelle sans revêtement (terre et gravier)
104000289,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Melrose,avenue Regent,29,3.7,Béton,0,Très bon,Très bon,0.5,
104000290,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Clifton,avenue Belgrave,30,3.6,Béton,0,Bon,Très bon,1.5,
104000291,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Hampton,avenue Hingston,36,3.1,Béton,0,Très bon,Très bon,1.5,
104000292,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Old Orchard,avenue Girouard,30,3.7,Asphalte,0,Très bon,Très bon,0.5,
104000293,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue Girouard,avenue Old Orchard,31,3.7,Asphalte,0,Passable,Très bon,3,
104000294,Côte-Des-Neiges - Notre-Dame-de-Grâce,avenue de Melrose,avenue Wilson,31,3.7,Asphalte,0,Très bon,Très bon,0.5,
104001108,Mercier - Hochelaga-Maisonneuve,rue Darling,rue Davidson,31,4.6,Asphalte,0,Très bon,Très bon,0.5,
104001109,Mercier - Hochelaga-Maisonneuve,rue Cuvillier,rue Davidson,31,4.6,Asphalte,0,Très bon,Bon,1.5,
104001110,Mercier - Hochelaga-Maisonneuve,boulevard Lapointe,rue Saint-Émile,35,4,Béton,0,Très bon,Très bon,0.5,
104001111,Mercier - Hochelaga-Maisonneuve,rue Pierre-Tétreault,rue Baldwin,30,4.6,Béton,0,Très bon,Très bon,0.5,
104001112,Mercier - Hochelaga-Maisonneuve,rue Darling,rue Davidson,31,4.6,Asphalte,0,Très bon,Très bon,0.5,
104001113,Mercier - Hochelaga-Maisonneuve,rue Desautels,avenue Parkville,34,4.2,Béton,0,Très bon,Très bon,0.5,
104001296,Mercier - Hochelaga-Maisonneuve,rue Baldwin,avenue Lebrun,33,4.6,Asphalte,0,Très bon,Très bon,0.5,Revêtement mixte asphalte et végétation
104001297,Mercier - Hochelaga-Maisonneuve,rue Saint-Clément,rue Viau,33,4.6,Asphalte,0,Passable,Très bon,3,
104001298,Mercier - Hochelaga-Maisonneuve,rue Mousseau,rue Des Ormeaux,33,4.6,Béton,0,Très bon,Très bon,1.5,
104001299,Mercier - Hochelaga-Maisonneuve,rue French,boulevard Pierre-Bernard,33,4.6,Béton,0,Très bon,Très bon,0.5,
104001300,Mercier - Hochelaga-Maisonneuve,rue Nicolet,avenue Valois,33,4.6,Asphalte,0,Très bon,Très bon,1.5,
104001301,Mercier - Hochelaga-Maisonneuve,rue French,boulevard Pierre-Bernard,33,4.6,Béton,0,Très bon,Très bon,0.5,
104001302,Mercier - Hochelaga-Maisonneuve,rue Nicolet,avenue Valois,33,4.6,Béton,0,Bon,Très bon,2,
104001117,Mercier - Hochelaga-Maisonneuve,rue Des Ormeaux,rue Mousseau,30,4.6,Béton,0,Très bon,Très bon,0.5,
104001118,Mercier - Hochelaga-Maisonneuve,rue de Meaux,rue de Toulouse,23,6,Béton,0,Très bon,Très bon,1.5,
104001119,Mercier - Hochelaga-Maisonneuve,rue Baldwin,avenue Lebrun,38,3.7,,,,,,Ruelle sans revêtement (gravier et végétation)
104001120,Mercier - Hochelaga-Maisonneuve,rue Du Quesne,avenue de la Pépinière,31,4.6,,,,,,Ruelle sans revêtement (gravier)
104001121,Mercier - Hochelaga-Maisonneuve,rue Davidson,rue Cuvillier,31,4.6,Asphalte,0,Bon,Très bon,2,
104001122,Mercier - Hochelaga-Maisonneuve,avenue William-David,avenue Bennett,33,4.3,Asphalte,0,Passable,Très bon,3,Ruelle identifiée verte sans aménagements verts
104001123,Mercier - Hochelaga-Maisonneuve,avenue Letourneux,avenue Bennett,23,6.1,Béton,0,Bon,Très bon,2,
104001124,Mercier - Hochelaga-Maisonneuve,rue Viau,rue de Ville-Marie,31,4.5,Béton,0,Très bon,Très bon,0.5,
104001125,Mercier - Hochelaga-Maisonneuve,rue De Cadillac,rue Bossuet,29,4.9,Béton,0,Très bon,Très bon,0.5,
104001126,Mercier - Hochelaga-Maisonneuve,rue De Cadillac,rue Bossuet,29,4.9,Béton,0,Très bon,Très bon,0.5,
104001309,Mercier - Hochelaga-Maisonneuve,rue Saint-Clément,rue Théodore,34,4.6,Asphalte,0,Très bon,Très bon,0.5,
104001310,Mercier - Hochelaga-Maisonneuve,rue Nicolet,avenue Valois,34,4.6,Asphalte,0,Très bon,Passable,2.5,
104001137,Mercier - Hochelaga-Maisonneuve,rue des Ormeaux,rue Pierre-Tétreault,30,4.7,,,,,,Ruelle sans revêtement (gravier)
104001138,Mercier - Hochelaga-Maisonneuve,rue de Beaurivage,rue Honoré-Beaugrand,31,4.6,Béton,0,Très bon,Très bon,1.5,
104001139,Mercier - Hochelaga-Maisonneuve,rue Baldwin,rue Pierre-Tétreault,31,4.6,,,,,,Ruelle sans revêtement (gravier)
104001322,Mercier - Hochelaga-Maisonneuve,rue Davidson,rue Cuvillier,34,4.6,Asphalte,0,Très bon,Très bon,0.5,
104001323,Mercier - Hochelaga-Maisonneuve,rue Saint-Donat,avenue Mercier,36,4.3,Béton,0,Très bon,Très bon,0.5,
104001324,Mercier - Hochelaga-Maisonneuve,rue Louis-Veuillot,rue Bossuet,33,4.7,Asphalte,0,Très bon,Très bon,0.5,
104001325,Mercier - Hochelaga-Maisonneuve,rue Viau,rue Saint-Clément,34,4.6,Asphalte,0,Bon,Très bon,2,
104001326,Mercier - Hochelaga-Maisonneuve,avenue Jeanne-d'Arc,boulevard Pie-IX,34,4.6,Asphalte,1,Bon,Très bon,2,
104001327,Mercier - Hochelaga-Maisonneuve,rue Nicolet,avenue Valois,34,4.6,Asphalte,0,Très bon,Très bon,1.5,
104001328,Mercier - Hochelaga-Maisonneuve,rue French,rue Joffre,34,4.6,Béton,0,Très bon,Très bon,1.5,
104001329,Mercier - Hochelaga-Maisonneuve,avenue Valois,rue Nicolet,34,4.6,Asphalte,0,Bon,Très bon,2,
104001330,Mercier - Hochelaga-Maisonneuve,rue French,rue Joffre,32,4.8,Béton,0,Très bon,Très bon,0.5,
104001331,Mercier - Hochelaga-Maisonneuve,rue Viau,rue Saint-Clément,34,4.6,Asphalte,0,Passable,Très bon,3,
104001146,Mercier - Hochelaga-Maisonneuve,rue Bellerive,rue Notre-Dame Est,37,3.8,Béton,0,Très bon,Très bon,0.5,
104001147,Mercier - Hochelaga-Maisonneuve,rue Davidson,rue Cuvillier,31,4.6,Asphalte,0,Passable,Très bon,3,
104001148,Mercier - Hochelaga-Maisonneuve,rue Desmarteau,rue Paul-Pau,38,3.7,Béton,0,Très bon,Très bon,0.5,
104001149,Mercier - Hochelaga-Maisonneuve,rue Taillon,rue Paul-Pau,31,4.6,Béton,0,Très bon,Très bon,0.5,
104001150,Mercier - Hochelaga-Maisonneuve,rue des Ormeaux,rue Pierre-Tétreault,31,4.6,Béton,0,Très bon,Très bon,0.5,
104001151,Mercier - Hochelaga-Maisonneuve,rue Mousseau,rue Des Ormeaux,31,4.6,Béton,0,Très bon,Très bon,0.5,
